lpips_1,lpips_2_A,lpips_2_B
"0.11548294126987457, 0.11142151802778244, 0.11217357218265533, 0.11444984376430511, 0.1142912432551384, 0.11162969470024109, 0.11074910312891006, 0.10979631543159485, 0.11092691123485565, 0.11556277424097061","0.11548294126987457, 0.12705054879188538, 0.14706936478614807, 0.17738531529903412, 0.23598390817642212, 0.29311665892601013, 0.3079303205013275, 0.33395734429359436, 0.3650820553302765, 0.39348819851875305","0.36718231439590454, 0.3581360876560211, 0.3501882553100586, 0.3393704891204834, 0.31028038263320923, 0.2271070033311844, 0.16122399270534515, 0.1285683810710907, 0.11600790172815323, 0.11556277424097061"
"0.297385573387146, 0.2799524664878845, 0.27112165093421936, 0.24562430381774902, 0.21572595834732056, 0.19477953016757965, 0.17773236334323883, 0.16463634371757507, 0.1537790596485138, 0.14687466621398926","0.297385573387146, 0.34679433703422546, 0.3959783911705017, 0.4245340824127197, 0.44522687792778015, 0.4672432839870453, 0.4880697429180145, 0.5061622858047485, 0.5242952108383179, 0.5433717370033264","0.21200382709503174, 0.19102506339550018, 0.1768726110458374, 0.16456447541713715, 0.15644106268882751, 0.15315085649490356, 0.14734391868114471, 0.14292888343334198, 0.14047658443450928, 0.14687466621398926"
"0.23255792260169983, 0.16119883954524994, 0.11713612079620361, 0.09129718691110611, 0.07133028656244278, 0.0552777498960495, 0.042906247079372406, 0.03225439414381981, 0.02444208227097988, 0.01896865852177143","0.23255792260169983, 0.264778733253479, 0.3034682869911194, 0.35070598125457764, 0.38908466696739197, 0.42700040340423584, 0.4615103006362915, 0.49499672651290894, 0.5231524109840393, 0.5477759838104248","0.44652625918388367, 0.368665486574173, 0.3011772930622101, 0.2441975325345993, 0.19196835160255432, 0.14670372009277344, 0.10759450495243073, 0.07118016481399536, 0.03990465775132179, 0.01896865852177143"
"0.025602169334888458, 0.03233152627944946, 0.043321624398231506, 0.05413280054926872, 0.06320910900831223, 0.07216934859752655, 0.08767399936914444, 0.10869359970092773, 0.13026903569698334, 0.15948589146137238","0.025602169334888458, 0.04369375482201576, 0.07575797289609909, 0.12489642202854156, 0.19848352670669556, 0.2915125787258148, 0.3565342128276825, 0.40301695466041565, 0.4348309338092804, 0.46768563985824585","0.4015134274959564, 0.3749728500843048, 0.34000033140182495, 0.2948165535926819, 0.23769593238830566, 0.18537157773971558, 0.14340749382972717, 0.12013006210327148, 0.12350059300661087, 0.15948589146137238"
"0.11059533804655075, 0.10040761530399323, 0.09695237129926682, 0.09575872868299484, 0.1007591038942337, 0.10534410178661346, 0.12050001323223114, 0.12792116403579712, 0.13167870044708252, 0.1359446942806244","0.11059533804655075, 0.10277913510799408, 0.10587289929389954, 0.12122131139039993, 0.15915802121162415, 0.21759621798992157, 0.25800445675849915, 0.28118863701820374, 0.3097204864025116, 0.32307758927345276","0.42089980840682983, 0.37853607535362244, 0.33557286858558655, 0.2989746928215027, 0.27078768610954285, 0.23988795280456543, 0.21371771395206451, 0.18880218267440796, 0.16145533323287964, 0.1359446942806244"
"0.20559963583946228, 0.08466217666864395, 0.055401530116796494, 0.052555061876773834, 0.04960475489497185, 0.04242078214883804, 0.039629481732845306, 0.03260333463549614, 0.032714903354644775, 0.03940010070800781","0.20559963583946228, 0.17304305732250214, 0.18941830098628998, 0.23666802048683167, 0.2895098924636841, 0.3650844693183899, 0.4612705111503601, 0.5619915723800659, 0.5573088526725769, 0.562602698802948","0.5528627038002014, 0.5027709603309631, 0.4569408893585205, 0.4110353887081146, 0.3622031807899475, 0.32035332918167114, 0.2474164217710495, 0.108089879155159, 0.04015689715743065, 0.03940010070800781"
"0.04719845950603485, 0.04380203038454056, 0.045022834092378616, 0.04728386551141739, 0.04985364153981209, 0.04830984026193619, 0.043268777430057526, 0.04393588751554489, 0.048183634877204895, 0.057679034769535065","0.04719845950603485, 0.04109198600053787, 0.052801404148340225, 0.07901820540428162, 0.11240498721599579, 0.14686043560504913, 0.17125163972377777, 0.19703082740306854, 0.22566916048526764, 0.2609008848667145","0.2636134922504425, 0.22690442204475403, 0.19061675667762756, 0.15754485130310059, 0.12724870443344116, 0.10315150022506714, 0.07730362564325333, 0.05794014409184456, 0.0508391372859478, 0.057679034769535065"
"0.023684248328208923, 0.027482280507683754, 0.030226795002818108, 0.03547641262412071, 0.042175617069005966, 0.050519909709692, 0.05874490365386009, 0.06820598989725113, 0.07650692760944366, 0.08666621148586273","0.023684248328208923, 0.029559724032878876, 0.03848642483353615, 0.051324810832738876, 0.06817561388015747, 0.08972299844026566, 0.11062674224376678, 0.1337842047214508, 0.15913042426109314, 0.19208930432796478","0.16754519939422607, 0.15300792455673218, 0.13688845932483673, 0.12167768180370331, 0.1073954626917839, 0.09622259438037872, 0.08743537962436676, 0.08126969635486603, 0.08060267567634583, 0.08666621148586273"
"0.10005815327167511, 0.09588778018951416, 0.09365355968475342, 0.08918636292219162, 0.08564196527004242, 0.07935857027769089, 0.07140475511550903, 0.06053943559527397, 0.05679301917552948, 0.07397930324077606","0.10005815327167511, 0.10979224741458893, 0.1238681897521019, 0.14237430691719055, 0.16653180122375488, 0.19497589766979218, 0.22628729045391083, 0.25582295656204224, 0.29514870047569275, 0.3343237042427063","0.27424708008766174, 0.2604266405105591, 0.24595043063163757, 0.22717171907424927, 0.1996287703514099, 0.1674489974975586, 0.13862770795822144, 0.10986782610416412, 0.08433409035205841, 0.07397930324077606"
"0.07900796085596085, 0.09598850458860397, 0.11250531673431396, 0.12755070626735687, 0.1392858624458313, 0.14349719882011414, 0.13609802722930908, 0.13420340418815613, 0.13137252628803253, 0.12608946859836578","0.07900796085596085, 0.09604299068450928, 0.13186998665332794, 0.18356430530548096, 0.24089178442955017, 0.3092116117477417, 0.35508862137794495, 0.3606964647769928, 0.37649956345558167, 0.3986493945121765","0.2824952304363251, 0.26102080941200256, 0.24808748066425323, 0.2437400221824646, 0.24205154180526733, 0.2335100919008255, 0.16689211130142212, 0.1220703050494194, 0.11391863226890564, 0.12608946859836578"
"0.0840182974934578, 0.06122472509741783, 0.04414631798863411, 0.03220633044838905, 0.025440683588385582, 0.02411571703851223, 0.027349155396223068, 0.034342654049396515, 0.04774903878569603, 0.06494959443807602","0.0840182974934578, 0.06525201350450516, 0.06618956476449966, 0.07363934814929962, 0.08318349719047546, 0.0949636846780777, 0.10471583157777786, 0.1133725643157959, 0.1215457022190094, 0.12975706160068512","0.21626198291778564, 0.18033146858215332, 0.1498120129108429, 0.12146465480327606, 0.09881091862916946, 0.08151717483997345, 0.07066041231155396, 0.06500493735074997, 0.06400685757398605, 0.06494959443807602"
"0.24294057488441467, 0.20396728813648224, 0.16349530220031738, 0.1304701864719391, 0.09894238412380219, 0.0760788768529892, 0.05679646134376526, 0.03923918306827545, 0.027505051344633102, 0.019795451313257217","0.24294057488441467, 0.22299709916114807, 0.20581945776939392, 0.20119529962539673, 0.21207444369792938, 0.2395477294921875, 0.2992461919784546, 0.41001394391059875, 0.4355410635471344, 0.4432940185070038","0.4903259873390198, 0.44837042689323425, 0.40531978011131287, 0.3639007806777954, 0.3262115716934204, 0.2869054079055786, 0.2396671175956726, 0.15058746933937073, 0.054725710302591324, 0.019795451313257217"
"0.16383226215839386, 0.16258977353572845, 0.16182181239128113, 0.16095025837421417, 0.1606646031141281, 0.1564987450838089, 0.15127722918987274, 0.14961546659469604, 0.1526329219341278, 0.15400032699108124","0.16383226215839386, 0.16238448023796082, 0.16554385423660278, 0.17338570952415466, 0.18864810466766357, 0.21530449390411377, 0.25328439474105835, 0.3068915605545044, 0.3398268520832062, 0.334227979183197","0.4095044732093811, 0.38250041007995605, 0.3523305654525757, 0.3198341131210327, 0.2858226001262665, 0.25512397289276123, 0.2260570228099823, 0.20072448253631592, 0.1755760759115219, 0.15400032699108124"
"0.19250312447547913, 0.16784366965293884, 0.1409110724925995, 0.11863511055707932, 0.101214699447155, 0.08706890791654587, 0.0733908861875534, 0.06397009640932083, 0.05672676861286163, 0.04858703166246414","0.19250312447547913, 0.19663245975971222, 0.20383411645889282, 0.2120295763015747, 0.2253873348236084, 0.24110691249370575, 0.2551844120025635, 0.26942160725593567, 0.2826061248779297, 0.2943287491798401","0.21476395428180695, 0.17095379531383514, 0.1333913803100586, 0.09979584813117981, 0.07625037431716919, 0.061376653611660004, 0.05113430693745613, 0.047159407287836075, 0.04676981270313263, 0.04858703166246414"
"0.04102618247270584, 0.03879830241203308, 0.03608290106058121, 0.03276866301894188, 0.03032422997057438, 0.02842852473258972, 0.026895929127931595, 0.02532508596777916, 0.02305501513183117, 0.023168573155999184","0.04102618247270584, 0.03715411573648453, 0.044188350439071655, 0.061149824410676956, 0.08322812616825104, 0.10628490895032883, 0.13209261000156403, 0.1621905267238617, 0.1963290423154831, 0.23810453712940216","0.26209932565689087, 0.23012381792068481, 0.19949528574943542, 0.17138484120368958, 0.1419866532087326, 0.11219644546508789, 0.08327316492795944, 0.05792761594057083, 0.035796329379081726, 0.023168573155999184"
"0.19718438386917114, 0.15288124978542328, 0.09134061634540558, 0.043012652546167374, 0.021295903250575066, 0.016514068469405174, 0.023505907505750656, 0.03182630613446236, 0.03452170640230179, 0.03447901830077171","0.19718438386917114, 0.23529964685440063, 0.2784963846206665, 0.3166958689689636, 0.34036630392074585, 0.36074620485305786, 0.3784964084625244, 0.39326897263526917, 0.4060802459716797, 0.41853174567222595","0.3653110861778259, 0.3166646361351013, 0.26964181661605835, 0.23053517937660217, 0.190931499004364, 0.15213891863822937, 0.11812522262334824, 0.08613136410713196, 0.05715816840529442, 0.03447901830077171"
"0.07474493980407715, 0.07234786450862885, 0.06815612316131592, 0.07076890766620636, 0.07775472849607468, 0.08443418890237808, 0.10026366263628006, 0.12298296391963959, 0.15221452713012695, 0.1917627602815628","0.07474493980407715, 0.09816320240497589, 0.1282748579978943, 0.16634026169776917, 0.20390628278255463, 0.23830698430538177, 0.27049291133880615, 0.2990012466907501, 0.32214170694351196, 0.3424132466316223","0.1796170175075531, 0.15855816006660461, 0.1250493824481964, 0.10546059161424637, 0.10634474456310272, 0.11409417539834976, 0.1321137398481369, 0.1531553864479065, 0.17230531573295593, 0.1917627602815628"
"0.22911392152309418, 0.15624883770942688, 0.12616172432899475, 0.11238905787467957, 0.10587382316589355, 0.10328555852174759, 0.09647097438573837, 0.08722292631864548, 0.072337806224823, 0.057928215712308884","0.22911392152309418, 0.2457747757434845, 0.2587972581386566, 0.2715749442577362, 0.32054752111434937, 0.35073167085647583, 0.39008525013923645, 0.43852391839027405, 0.481258749961853, 0.5225517153739929","0.443118155002594, 0.4522368907928467, 0.4613461196422577, 0.45606064796447754, 0.38076841831207275, 0.2609112560749054, 0.19452343881130219, 0.13454778492450714, 0.08535328507423401, 0.057928215712308884"
"0.021677611395716667, 0.02105412259697914, 0.02237066812813282, 0.02190079726278782, 0.021638035774230957, 0.025297442451119423, 0.031016308814287186, 0.03624722361564636, 0.04258972033858299, 0.049780964851379395","0.021677611395716667, 0.039137400686740875, 0.07752874493598938, 0.1060144454240799, 0.14056344330310822, 0.18211472034454346, 0.2259044200181961, 0.27403682470321655, 0.3244442343711853, 0.37272608280181885","0.33193010091781616, 0.2716059386730194, 0.22843094170093536, 0.19232305884361267, 0.1611233949661255, 0.13411757349967957, 0.10556644201278687, 0.07647034525871277, 0.05432410538196564, 0.049780964851379395"
"0.06473639607429504, 0.06552232056856155, 0.06588659435510635, 0.06385468691587448, 0.06282011419534683, 0.06073902174830437, 0.05932582914829254, 0.060907699167728424, 0.06914389133453369, 0.08189716935157776","0.06473639607429504, 0.05113007128238678, 0.03865572810173035, 0.02815096080303192, 0.02307949960231781, 0.025440502911806107, 0.03712833672761917, 0.05784617364406586, 0.09204957634210587, 0.1350228190422058","0.2836306095123291, 0.2728406488895416, 0.2593575716018677, 0.24393980205059052, 0.22537659108638763, 0.20407703518867493, 0.17634832859039307, 0.1479954719543457, 0.11760474741458893, 0.08189716935157776"
"0.05140305310487747, 0.04426930844783783, 0.039670828729867935, 0.037736669182777405, 0.032217055559158325, 0.027751479297876358, 0.02415633015334606, 0.02095731720328331, 0.019627321511507034, 0.020608998835086823","0.05140305310487747, 0.06586810946464539, 0.12469587475061417, 0.26404011249542236, 0.29729124903678894, 0.33426302671432495, 0.35568851232528687, 0.37212055921554565, 0.38707059621810913, 0.4006095230579376","0.38615286350250244, 0.38488125801086426, 0.38245776295661926, 0.33562058210372925, 0.17296388745307922, 0.10701023042201996, 0.0693536102771759, 0.04004603996872902, 0.024387484416365623, 0.020608998835086823"
"0.04641552269458771, 0.03953960910439491, 0.03275195509195328, 0.02873208001255989, 0.02460794895887375, 0.023194145411252975, 0.02125055156648159, 0.01779443956911564, 0.014724982902407646, 0.014847679995000362","0.04641552269458771, 0.04768868163228035, 0.0732329934835434, 0.12847761809825897, 0.21543245017528534, 0.22162291407585144, 0.2676127254962921, 0.26577135920524597, 0.2633873522281647, 0.28540197014808655","0.2754724323749542, 0.26696106791496277, 0.2571498155593872, 0.2654038965702057, 0.28887829184532166, 0.20492994785308838, 0.15721246600151062, 0.10433930903673172, 0.042657189071178436, 0.014847679995000362"
"0.06545786559581757, 0.037159088999032974, 0.026881998404860497, 0.02305566519498825, 0.01926562190055847, 0.018059078603982925, 0.015878403559327126, 0.013268032111227512, 0.01240078266710043, 0.013849848881363869","0.06545786559581757, 0.08047239482402802, 0.09609496593475342, 0.14161144196987152, 0.2470531314611435, 0.2771759629249573, 0.2959302067756653, 0.3178260624408722, 0.3519192934036255, 0.3989349603652954","0.3862308859825134, 0.3852771818637848, 0.37282395362854004, 0.3581838309764862, 0.311685711145401, 0.1937313675880432, 0.11731402575969696, 0.06670422852039337, 0.022246042266488075, 0.013849848881363869"
"0.22171702980995178, 0.19662214815616608, 0.1728767454624176, 0.14551623165607452, 0.11878790706396103, 0.09455297142267227, 0.07600625604391098, 0.07282339036464691, 0.08918781578540802, 0.12277091294527054","0.22171702980995178, 0.18731056153774261, 0.16373127698898315, 0.14681078493595123, 0.1421496868133545, 0.1434631496667862, 0.15860162675380707, 0.1881372034549713, 0.22632811963558197, 0.2694482207298279","0.3951765298843384, 0.3442903459072113, 0.2977478504180908, 0.25093874335289, 0.20941516757011414, 0.1703900545835495, 0.13814589381217957, 0.12014827132225037, 0.11442063003778458, 0.12277091294527054"
"0.28366735577583313, 0.23167404532432556, 0.20183980464935303, 0.18401922285556793, 0.15033842623233795, 0.1102796345949173, 0.09293527901172638, 0.08656957745552063, 0.08881469815969467, 0.0978260189294815","0.28366735577583313, 0.2542674243450165, 0.24780574440956116, 0.2585693597793579, 0.28406819701194763, 0.30345970392227173, 0.3566850423812866, 0.4086320996284485, 0.44711098074913025, 0.48054054379463196","0.4972878396511078, 0.4905734956264496, 0.4851246774196625, 0.4840985834598541, 0.38461217284202576, 0.23282471299171448, 0.15922242403030396, 0.11635519564151764, 0.09648799896240234, 0.0978260189294815"
"0.1482221782207489, 0.09924883395433426, 0.06353647261857986, 0.0334794744849205, 0.0176311656832695, 0.01802554354071617, 0.03231384605169296, 0.05412023514509201, 0.07630470395088196, 0.09975775331258774","0.1482221782207489, 0.1133459210395813, 0.09446629881858826, 0.09103663265705109, 0.09829074889421463, 0.11073783040046692, 0.12573890388011932, 0.14732201397418976, 0.17899788916110992, 0.21837730705738068","0.21869701147079468, 0.182957261800766, 0.16171841323375702, 0.14836101233959198, 0.14156849682331085, 0.1278095841407776, 0.11157194525003433, 0.09942737221717834, 0.09524659812450409, 0.09975775331258774"
